,Unnamed: 0,author,title,source,date,target
0,0,By Yacob Reyes ,gov ron desantis raised tax the middle class more than billion while giving away million big corporation,Charlie Crist," September 2, 2022",barely-true
1,1,By Amy Sherman ,alaska voter voted for republican but thanks convoluted process and ballot exhaustion which disenfranchises voter democrat won,Tom Cotton," September 2, 2022",barely-true
2,2,By Madeline Heim ,say tim michels doesn think gay people should out public,Democratic Party of Wisconsin," September 2, 2022",barely-true
3,3,By Tom Kertscher ,three church were targeted during arson attack over the summer because they protect unborn baby and woman need,CatholicVote," September 1, 2022",barely-true
4,4,By Tori Gantz ,joe biden and raphael warnock are spending billion urban forestry and raising tax those making under pay for,Herschel Walker," September 1, 2022",half-true
5,5,By Paul Specht ,sixty four member congress republican and democrat have broken law stop insider stock trading yet washington refuse anything about,Cheri Beasley," September 1, 2022",half-true
6,6,By Jill Terreri Ramos ,new york you need show identification buy whipped cream but not vote,Social  Media," September 1, 2022",barely-true
7,7,By Michael Majchrowicz ,water fueled car can travel from gallon,Instagram posts," August 31, 2022",false
8,8,By Maria Ramirez Uribe ,the public health order title the last tool border patrol ha stop the overwhelming flood illegal immigrant pouring into our country,Adam Laxalt," August 31, 2022",false
9,9,By Jeff Cercone ,document prove white house behind entire fbi targeting trump biden lied,Facebook posts," August 31, 2022",false
10,10,By Luiz Romero ,the irs hiring new agent police people who will owe more federal tax after having their student loan forgiven,Facebook posts," August 31, 2022",false
11,11,By Yacob Reyes ,fox news sought the legal right tell lie,Facebook posts," August 31, 2022",false
12,12,By Kristin Hugo ,the earth just started spinning faster than ever before and scientist are gravely concerned,Facebook posts," August 31, 2022",half-true
13,13,By Maria Ramirez Uribe ,presidente rusia vladimir putin anuncia que arrepiente invadir ucrania,Facebook posts," August 31, 2022",false
14,14,By Sara Swann ,the longer recommending the pfizer biontech covid mrna vaccine for pregnant woman,Instagram posts," August 31, 2022",false
15,15,By Tom Kertscher ,joe biden student debt forgiveness plan bailout for rich kid,American Action Network," August 31, 2022",barely-true
16,16,By Louis Jacobson ,obscure filing with the federal election commission show biden ha formally announced his bid for another term,Facebook posts," August 31, 2022",false
17,17,By Ciara O'Rourke ,joe biden threatened assassinate ukraine former president,Facebook posts," August 31, 2022",pants-fire
18,18,By Ciara O'Rourke ,starbucks just announced that they going cashless,Instagram posts," August 31, 2022",false
19,19,By Madison Czopek ,harvard sitting top billion hedge fund they call endowment that they pay zero tax yale ha billion stanford billion princeton billion,Charlie Kirk," August 31, 2022",half-true
20,20,By Lyle Muller ,the nonpartisan congressional budget office say with the supersized staff the irs audit rate would rise for all taxpayer regardless income and would even result audit innocent american who have paid their tax and don owe the irs anything,Joni Ernst," August 30, 2022",half-true
21,21,By Michael Majchrowicz ,another continent may exist beneath antarctica which also home homicidal sea creature unknown origin,Facebook posts," August 30, 2022",pants-fire
22,22,By Madison Czopek ,the fbi spent more time investigating the jan capitol attack than,Facebook posts," August 30, 2022",pants-fire
23,23,By Michael Majchrowicz ,the national guard wa activated jan and complete control,Facebook posts," August 30, 2022",pants-fire
24,24,By Amy Sherman ,arizona have flood the zone with fake ballot,Mark Finchem," August 30, 2022",pants-fire
25,25,By Jeff Cercone ,student debt relief taxable the internal revenue service,Facebook posts," August 30, 2022",false
26,26,By Gabrielle Settles ,instagram precise location feature can used criminal target victim,Instagram posts," August 30, 2022",false
27,27,By Sara Swann ,moderna lawsuit against pfizer biontech show covid vaccine were the work before the pandemic started,Instagram posts," August 30, 2022",false
28,28,By Andy Nguyen ,image claim show list republican member congress whose ppp loan were forgiven,Instagram posts," August 30, 2022",true
29,29,By Lyle Muller ,billion your taxpayer money sitting account that can used for other purpose,Deidre DeJear," August 29, 2022",barely-true
30,30,By Yacob Reyes ,sarasota florida teacher told they can not purchase book accept donated reading material order from scholastic hold book fair,Facebook posts," August 29, 2022",half-true
31,31,By Ciara O'Rourke ,nearly half pregnant woman pfizer trial miscarried,Viral image," August 29, 2022",false
32,32,By Amy Sherman ,the supreme court will put donald trump back office october,Facebook posts," August 29, 2022",pants-fire
33,33,By Vanessa Swales ,say democratic senate candidate mandela barnes support abolishing ice,National Republican Senatorial Committee," August 29, 2022",barely-true
34,34,By Madison Czopek ,screenshots show that conservative political commentator ben shapiro received more than paycheck protection program loan forgiveness,Facebook posts," August 26, 2022",false
35,35,By Ciara O'Rourke ,your body alkaline you can not get cancer and you have cancer go away,Viral image," August 26, 2022",false
36,36,By Michael Majchrowicz ,monkeypox complete fake sham that designed force lockdown mandate and shot,Facebook posts," August 26, 2022",pants-fire
37,37,By Ciara O'Rourke ,video show tucker carlson speechless interview with guest,Viral image," August 26, 2022",false
38,38,By Gabrielle Settles ,the covid pandemic wa planned and simulation called event wa rehearsal for,Pitbull," August 26, 2022",false
39,39,By Yacob Reyes ,charlie crist supported biden agenda defund the police,Republican Party of Florida," August 26, 2022",false
40,40,By Ciara O'Rourke ,testing new most deadly nuclear bomb from lancer,Facebook posts," August 26, 2022",false
41,41,By Ciara O'Rourke ,half the vote for joe biden the presidential election are from dead people,Viral image," August 26, 2022",pants-fire
42,42,By Tom Kertscher ,blake master want pas national ban abortion,Mark Kelly," August 26, 2022",mostly-true
43,43,By Andy Nguyen ,the death rep jackie walorski ind and actor anne heche are suspicious and linked because they partnered fighting against pedophilia,Facebook posts," August 26, 2022",false
44,44,By Tom Kertscher ,privatizing social security,Blake Masters," August 25, 2022",half-flip
45,45,By Andy Nguyen ,image show trump representing himself lawsuit against the united state government related the fbi search his florida home,Tweets," August 25, 2022",false
46,46,By D.L. Davis ,last year the irs audited american earning le than year five time the rate other group,Ron Johnson," August 25, 2022",mostly-true
47,47,By Ciara O'Rourke ,army ukraine,Facebook posts," August 24, 2022",false
48,48,By Ciara O'Rourke ,image show chyron tucker carlson show that said straight men turning homo after gay hypnosis,Viral image," August 24, 2022",pants-fire
49,49,By Ciara O'Rourke ,marjorie taylor greene wa raided joe biden doj last night,Instagram posts," August 24, 2022",false
50,50,By Sara Swann ,england covid vaccinated child are more likely die any cause and more likely die covid than unvaccinated child,Bloggers," August 24, 2022",false
51,51,By Louis Jacobson ,adjusted for inflation over the last year teacher have made increase their salary,Miguel Cardona," August 24, 2022",half-true
52,52,By Louis Jacobson ,the american rescue plan helped create nearly million new job,Joe Biden," August 24, 2022",barely-true
53,53,By Yacob Reyes ,image show florida anti woke banned book list,Viral image," August 24, 2022",false
54,54,By Madison Czopek ,new england journal medicine study found that vaccinated people are more contagious than the unvaccinated day after sars cov infection,Facebook posts," August 24, 2022",false
55,55,By Warren Fiske ,new democratic law will make the irs workforce larger than the pentagon fbi state department and custom and border patrol combined,Ben Cline," August 24, 2022",barely-true
56,56,By Michael Majchrowicz ,biden adding more irs agent investigate your tax than have detective investigating every crime the country,Instagram posts," August 23, 2022",false
57,57,By Paul Specht ,violent crime all time high,Ben Kral," August 23, 2022",false
58,58,By Tom Kertscher ,the inflation reduction act double the size the irs raise your tax and spends billion green energy slush fund,Tom Cotton," August 23, 2022",barely-true
59,59,By Andy Nguyen ,quote sarah palin saying when jesus celebrated easter with his disciple there were easter bunny egg hunt,Facebook posts," August 23, 2022",pants-fire
60,60,By Sara Swann ,congress just voted exempt themselves from irs auditing their personal finance,Instagram posts," August 23, 2022",false
61,61,By Andy Nguyen ,video claim google street view show antarctica with green vegetation and brick building,Facebook posts," August 23, 2022",false
62,62,By Gabrielle Settles ,free health allowance available cost,Facebook posts," August 22, 2022",false
63,63,By Ciara O'Rourke ,people born before are getting added their social security check,Facebook posts," August 19, 2022",false
64,64,By Madison Czopek ,climate data corrupted,Facebook posts," August 19, 2022",false
65,65,By Andy Nguyen ,video implies talk between barack obama and kamala harris ha coded reference pedophilia,Facebook posts," August 19, 2022",pants-fire
66,66,By Ciara O'Rourke ,the inflation reduction act expanded free health insurance american under,Facebook posts," August 19, 2022",false
67,67,By Ciara O'Rourke ,covid vaccine are responsible for the health problem featured recent news report,Viral image," August 19, 2022",false
68,68,By Ciara O'Rourke ,tulsi gabbard venmos nancy pelosi forcing the irs audit pelosi finance,Viral image," August 19, 2022",false
69,69,By Yacob Reyes ,also know the sierra club paid for those reporter the palm beach post,Nikki Fried," August 19, 2022",pants-fire
70,70,By Ciara O'Rourke ,video show steve bannon cry trump going jail,Facebook posts," August 19, 2022",false
71,71,By Ciara O'Rourke ,photo show irs agent training class,Facebook posts," August 19, 2022",false
72,72,By Ciara O'Rourke ,photo show parent who changed their baby gender identity,Viral image," August 19, 2022",pants-fire
73,73,By Maria Ramirez Uribe ,congreso acaba aprobar reciente proyecto ley para todos los que tengan deuda,Facebook posts," August 19, 2022",false
74,74,By Laura Schulte ,say republican sen ron johnson called climate change bull during record heatwave and raked over fossil fuel cash,League of Conservation Voters," August 19, 2022",true
75,75,By Gabrielle Settles ,amazon running promotion and giving away random package for just,Facebook posts," August 18, 2022",false
76,76,By Ciara O'Rourke ,video show mitch mcconnell saying nancy pelosi should jailed,Facebook posts," August 18, 2022",false
77,77,By Jeff Cercone ,the irs about double size with new armed agent and additional billion order primarily enhance irs enforcement and operation,Facebook posts," August 18, 2022",barely-true
78,78,By Ciara O'Rourke ,ted cruz erupts fbi director try defend biden over mar lago raid video,Facebook posts," August 18, 2022",false
79,79,By Jeff Cercone ,video show former president barack obama sharing how mislead the public,TikTok posts," August 18, 2022",false
80,80,By Vanessa Swales ,with three month remaining the fiscal year the border patrol ha already encountered more illegal immigrant along the southwest border than any previous fiscal year,Glenn Grothman," August 18, 2022",mostly-true
81,81,By Maria Ramirez Uribe ,the irs adding new agent making the irs larger than the pentagon federal bureau investigation custom and border protection and the state department combined,Rick Scott," August 17, 2022",barely-true
82,82,By Ciara O'Rourke ,leaked message between former president barack obama and judge reinhart foreshadowed the unlawful raid former trump mar lago estate,Viral image," August 17, 2022",false
83,83,By Jon Greenberg ,the congressional budget office say the revenue generated from the new irs agent will come from people making le than and the revenue generated will plus billion,Tim Scott," August 17, 2022",false
84,84,By Ciara O'Rourke ,there polio new york city tap water,Viral image," August 17, 2022",false
85,85,By Warren Fiske ,democrat are voting add army irs agent who will target middle class taxpayer and conduct least million more audit each year,Bob Good," August 17, 2022",barely-true
86,86,By Ciara O'Rourke ,video show congress voting for highly classified homeland terrorism preparedness bill,Viral image," August 17, 2022",pants-fire
87,87,By Ciara O'Rourke ,rep adam kinzinger admits trump won the presidential election,Facebook posts," August 17, 2022",false
88,88,By Ciara O'Rourke ,anne heche wa murdered the illuminati because she wa working movie about jeffrey epstein,Instagram posts," August 16, 2022",false
89,89,By D.L. Davis ,are number one the country far our spending covid relief money business relates the percentage federal fund that receive,Tony Evers," August 16, 2022",half-true
90,90,By Amy Sherman ,send your postcard key state decertify fraud the election,Facebook posts," August 16, 2022",pants-fire
91,91,By Madison Czopek ,reuters reported that white house employee andrew bates did use nazi symbolism recent tweet,Facebook posts," August 16, 2022",false
92,92,By Ciara O'Rourke ,the covid vaccine caused ashton kutcher lose vision hearing and ability walk,Viral image," August 16, 2022",false
93,93,By Gabrielle Settles ,empty store shelf walmart south carolina were because meat shortage,Facebook posts," August 16, 2022",false
94,94,By Andy Nguyen ,liz cheney cry like kid after loses primary against trump pick two day before the primary election,Facebook posts," August 16, 2022",pants-fire
95,95,By Ciara O'Rourke ,they put monkeypox the water atlanta,Viral image," August 15, 2022",false
96,96,By Ciara O'Rourke ,donald trump tweeted while father love almost all his supporter please not come mar lago support president trump have many important people coming through the club and need keep clean,Viral image," August 15, 2022",false
97,97,By Yacob Reyes ,video show ron desantis arguing with sean hannity,Tweets," August 15, 2022",false
98,98,By Andy Nguyen ,bill gate and aoc say that cow emits more pollution than car,Facebook posts," August 15, 2022",false
99,99,By Tom Kertscher ,brian kemp want investigate and punish woman for having miscarriage,Stacey Abrams," August 12, 2022",false
100,100,By Yacob Reyes ,boston child hospital now offering gender affirming hysterectomy for young girl,Tweets," August 12, 2022",false
101,101,By D.L. Davis ,endorsing former president donald trump,Tim Michels," August 12, 2022",half-flip
102,102,By Tom Kertscher ,adam laxalt fought investigation into the oil industry then they funded his campaign,Catherine Cortez Masto," August 12, 2022",half-true
103,103,By Jon Greenberg ,president barack hussein obama kept million page document much them classified how many them pertained nuclear word lot,Donald Trump," August 12, 2022",pants-fire
104,104,By Jeff Cercone ,the government arming the irs because joe biden raising tax and disarming american,Matt Gaetz," August 12, 2022",false
105,105,By Ciara O'Rourke ,photo show ghislaine maxwell and bruce reinhart,Viral image," August 12, 2022",false
106,106,By Alan Hovorka ,governor tony evers gave county the green light defund wisconsin police department,Republican Governors Association," August 12, 2022",barely-true
107,107,By Jon Greenberg ,democrat new army irs agent will coming for you with new audit for american who earn le than,Kevin McCarthy," August 11, 2022",barely-true
108,108,By Ciara O'Rourke ,pennsylvania sent out mail ballot they got back,Viral image," August 11, 2022",false
109,109,By Jeff Cercone ,delta force seized shipment weapon headed the irs,TikTok posts," August 11, 2022",pants-fire
110,110,By Warren Fiske ,abigail spanberger still vote with and share joe biden position the time,Yesli Vega," August 11, 2022",mostly-true
111,111,By Andy Nguyen ,electric car california are not sustainable only their battery are recyclable and the state can recycle them,Instagram posts," August 11, 2022",false
112,112,By Amy Sherman ,taking the fifth amendment,Donald Trump," August 10, 2022",half-flip
113,113,By Nuria Diaz Muñoz ,urgente china confirma invasi los ngeles baja california prepararon destructores,Facebook posts," August 10, 2022",false
114,114,By Yacob Reyes ,they are literally chopping off the private part young kid,Ron DeSantis," August 10, 2022",barely-true
115,115,By Madison Czopek ,former president donald trump asked for troop around the capitol make sure everyone safe jan but wa turned down the democrat,Facebook posts," August 10, 2022",false
116,116,By Andy Nguyen ,video show clark county poll worker acting illegally asking people place their ballot into bag outside drop box,Facebook posts," August 10, 2022",false
117,117,By Ciara O'Rourke ,photo show electric car that were bought for civil servant france and then abandoned because wa too expensive replace the battery,Viral image," August 10, 2022",false
118,118,By Paul Specht ,north carolina among some the top state the country for the number ghost gun that are seized crime gun,Michael Easley Jr.," August 9, 2022",mostly-true
119,119,By Ciara O'Rourke ,ted cruz leak new document obtained from hunter laptop implicating nancy pelosi,Facebook posts," August 9, 2022",false
120,120,By Nuria Diaz Muñoz ,urgente china prepara ataque nuclear desde espacio nueva york alerta roja,Facebook posts," August 9, 2022",false
121,121,By Nusaiba Mizan ,under abbott texas lead the nation rape offense while the rate arrest for rape ha fallen nearly half,Beto O'Rourke," August 9, 2022",mostly-true
122,122,By Jeff Cercone ,brittney griner really man,Facebook posts," August 9, 2022",pants-fire
123,123,By Julie Appleby ,about federal hospital price transparency requirement nobody enforcing that law,Power to the Patients," August 9, 2022",half-true
124,124,By Kelly Smits ,have more oil and gas permit than ever before right now,Mandela Barnes," August 9, 2022",mostly-true
125,125,By Sara Swann ,photo show massive crowd trump rally wisconsin aug,Viral image," August 8, 2022",false
126,126,By Louis Jacobson ,overturning roe wade wa unconstitutional action the supreme court,Karine Jean-Pierre," August 8, 2022",false
127,127,By Monique Curet ,there documentation bull shark the great lake,Instagram posts," August 5, 2022",false
128,128,By Louis Jacobson ,the senate democrat reconciliation bill will strip billion from medicare,American Prosperity Alliance," August 5, 2022",false
129,129,By Maria Ramirez Uribe ,biden want give illegals card they can start collecting american benefit,Tomi Lahren," August 5, 2022",false
130,130,By Grace Abels ,consuming rice and bean milk cheese butter and egg cause disease age,Facebook posts," August 5, 2022",pants-fire
131,131,By Monique Curet ,suggests root canal are linked breast cancer,Instagram posts," August 5, 2022",false
132,132,By Andy Nguyen ,congratulation the irs winning the million mega million jackpot,Facebook posts," August 5, 2022",false
133,133,By Madeline Heim ,tim michels pushed for year raise wisconsin gas tax,Rebecca Kleefisch," August 5, 2022",barely-true
