,author,title,source,date,target
0,By Yacob Reyes ,"Gov. Ron DeSantis raised ""taxes on the middle class by more than $1.5 billion while giving away $624 million to big corporations.""",Charlie Crist," September 2, 2022",barely-true
1,By Amy Sherman ,"“60% of Alaska voters voted for a Republican, but thanks to a convoluted process and ballot exhaustion — which disenfranchises voters — a Democrat ‘won.’""",Tom Cotton," September 2, 2022",barely-true
2,By Madeline Heim ,Says “Tim Michels doesn’t think gay people should be out in public.”,Democratic Party of Wisconsin," September 2, 2022",barely-true
3,By Tom Kertscher ,Three churches were targeted during arson attacks over the summer “because they protect unborn babies and women in need.”,CatholicVote," September 1, 2022",barely-true
4,By Tori Gantz ,"Joe Biden and Raphael Warnock ""are spending $1.5 billion on ‘urban forestry’ and raising taxes on those making under $200k to pay for it.”",Herschel Walker," September 1, 2022",half-true
5,By Paul Specht ,"“Sixty-four members of Congress — Republicans and Democrats — have broken a law to stop insider stock trading, yet Washington refuses to do anything about it.”",Cheri Beasley," September 1, 2022",half-true
6,By Jill Terreri Ramos ,"In New York, you need to show identification to buy whipped cream, but not to vote.",Social  Media," September 1, 2022",barely-true
7,By Michael Majchrowicz ,"""Water-fueled car can travel from LA to NY on 22 gallons.""",Instagram posts," August 31, 2022",false
8,By Maria Ramirez Uribe ,"The public health order Title 42 is ""the last tool Border Patrol has to stop the overwhelming flood of illegal immigrants pouring into our country.”",Adam Laxalt," August 31, 2022",false
9,By Jeff Cercone ,"""Documents prove White House behind entire FBI targeting of Trump. Biden lied.""",Facebook posts," August 31, 2022",false
10,By Luiz Romero ,"The IRS is hiring 87,000 new agents to police people who will owe more federal tax after having their student loans forgiven.",Facebook posts," August 31, 2022",false
11,By Yacob Reyes ,"Fox News sought the legal ""right to tell lies.""",Facebook posts," August 31, 2022",false
12,By Kristin Hugo ,“The Earth just started spinning faster than ever before and scientists are gravely concerned.”,Facebook posts," August 31, 2022",half-true
13,By Maria Ramirez Uribe ,El Presidente de Rusia Vladimir Putin “anuncia que se arrepiente de invadir Ucrania”.,Facebook posts," August 31, 2022",false
14,By Sara Swann ,The U.K. is no longer recommending the Pfizer-BioNTech COVID-19 mRNA vaccine for pregnant women.,Instagram posts," August 31, 2022",false
15,By Tom Kertscher ,"Joe Biden's student debt forgiveness plan is a ""bailout for rich kids.""",American Action Network," August 31, 2022",barely-true
16,By Louis Jacobson ,An obscure filing with the Federal Election Commission shows Biden has formally announced his bid for another term.,Facebook posts," August 31, 2022",false
17,By Ciara O'Rourke ,Joe Biden threatened to assassinate Ukraine’s former president.,Facebook posts," August 31, 2022",pants-fire
18,By Ciara O'Rourke ,“Starbucks just announced that they’re going cashless.”,Instagram posts," August 31, 2022",false
19,By Madison Czopek ,“Harvard is sitting on top of a $54 billion hedge fund they call an ‘endowment’ that they pay zero taxes on. Yale has $31 Billion. Stanford $29 Billion. Princeton $26 Billion.”,Charlie Kirk," August 31, 2022",half-true
20,By Lyle Muller ,"“The nonpartisan Congressional Budget Office says with the supersized staff, the IRS audit rate ‘would rise for ALL taxpayers’ regardless of income, and would even result in audits of innocent Americans who have paid their taxes and don’t owe the IRS anything.”",Joni Ernst," August 30, 2022",half-true
21,By Michael Majchrowicz ,"Another continent may exist beneath Antarctica, which is also home to homicidal sea creature of unknown origin",Facebook posts," August 30, 2022",pants-fire
22,By Madison Czopek ,The FBI “spent more time investigating” the Jan. 6 Capitol attack than 9/11.,Facebook posts," August 30, 2022",pants-fire
23,By Michael Majchrowicz ,"The National Guard was activated Jan. 6, 2021, and “is in complete control.”",Facebook posts," August 30, 2022",pants-fire
24,By Amy Sherman ,"“In Arizona, we have flood the zone with fake ballots.”",Mark Finchem," August 30, 2022",pants-fire
25,By Jeff Cercone ,Student debt relief is taxable by the Internal Revenue Service.,Facebook posts," August 30, 2022",false
